{'r_arm': 177},{'l_arm': 179},{'r_leg': 85},{'l_leg': 169},{'r_shoulder': 151},{'l_shoulder': 74},{'r_hip': 136},{'l_hip': 161},hold
{'r_arm': 179},{'l_arm': 178},{'r_leg': 81},{'l_leg': 169},{'r_shoulder': 151},{'l_shoulder': 74},{'r_hip': 133},{'l_hip': 162},hold
{'r_arm': 179},{'l_arm': 177},{'r_leg': 80},{'l_leg': 168},{'r_shoulder': 151},{'l_shoulder': 74},{'r_hip': 132},{'l_hip': 162},hold
{'r_arm': 179},{'l_arm': 177},{'r_leg': 79},{'l_leg': 168},{'r_shoulder': 151},{'l_shoulder': 74},{'r_hip': 131},{'l_hip': 163},hold
{'r_arm': 179},{'l_arm': 176},{'r_leg': 77},{'l_leg': 168},{'r_shoulder': 152},{'l_shoulder': 75},{'r_hip': 130},{'l_hip': 163},hold
{'r_arm': 178},{'l_arm': 176},{'r_leg': 77},{'l_leg': 168},{'r_shoulder': 152},{'l_shoulder': 75},{'r_hip': 130},{'l_hip': 163},hold
{'r_arm': 177},{'l_arm': 175},{'r_leg': 77},{'l_leg': 167},{'r_shoulder': 153},{'l_shoulder': 75},{'r_hip': 129},{'l_hip': 164},hold
{'r_arm': 177},{'l_arm': 174},{'r_leg': 77},{'l_leg': 168},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 164},hold
{'r_arm': 175},{'l_arm': 174},{'r_leg': 77},{'l_leg': 168},{'r_shoulder': 155},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 164},hold
{'r_arm': 174},{'l_arm': 174},{'r_leg': 77},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 164},hold
{'r_arm': 173},{'l_arm': 174},{'r_leg': 77},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 164},hold
{'r_arm': 173},{'l_arm': 174},{'r_leg': 76},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 164},hold
{'r_arm': 173},{'l_arm': 173},{'r_leg': 75},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 165},hold
{'r_arm': 174},{'l_arm': 172},{'r_leg': 75},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 127},{'l_hip': 165},hold
{'r_arm': 174},{'l_arm': 172},{'r_leg': 75},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 172},{'r_leg': 76},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 76},{'l_leg': 168},{'r_shoulder': 156},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 76},{'l_leg': 168},{'r_shoulder': 155},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 77},{'l_leg': 168},{'r_shoulder': 155},{'l_shoulder': 75},{'r_hip': 129},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 78},{'l_leg': 168},{'r_shoulder': 155},{'l_shoulder': 75},{'r_hip': 129},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 78},{'l_leg': 169},{'r_shoulder': 155},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 78},{'l_leg': 169},{'r_shoulder': 155},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 165},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 78},{'l_leg': 169},{'r_shoulder': 155},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 166},hold
{'r_arm': 176},{'l_arm': 173},{'r_leg': 78},{'l_leg': 170},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 166},hold
{'r_arm': 176},{'l_arm': 173},{'r_leg': 78},{'l_leg': 170},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 167},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 78},{'l_leg': 169},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 167},hold
{'r_arm': 175},{'l_arm': 173},{'r_leg': 79},{'l_leg': 168},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 129},{'l_hip': 168},hold
{'r_arm': 175},{'l_arm': 174},{'r_leg': 79},{'l_leg': 168},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 129},{'l_hip': 169},hold
{'r_arm': 175},{'l_arm': 174},{'r_leg': 79},{'l_leg': 168},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 129},{'l_hip': 170},hold
{'r_arm': 175},{'l_arm': 174},{'r_leg': 78},{'l_leg': 167},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 129},{'l_hip': 171},hold
{'r_arm': 175},{'l_arm': 174},{'r_leg': 77},{'l_leg': 165},{'r_shoulder': 154},{'l_shoulder': 75},{'r_hip': 128},{'l_hip': 173},hold
{'r_arm': 176},{'l_arm': 172},{'r_leg': 72},{'l_leg': 160},{'r_shoulder': 146},{'l_shoulder': 79},{'r_hip': 111},{'l_hip': 174},hold
{'r_arm': 179},{'l_arm': 175},{'r_leg': 80},{'l_leg': 163},{'r_shoulder': 136},{'l_shoulder': 85},{'r_hip': 110},{'l_hip': 179},hold
{'r_arm': 161},{'l_arm': 173},{'r_leg': 77},{'l_leg': 160},{'r_shoulder': 145},{'l_shoulder': 85},{'r_hip': 113},{'l_hip': 177},hold
{'r_arm': 176},{'l_arm': 173},{'r_leg': 81},{'l_leg': 157},{'r_shoulder': 139},{'l_shoulder': 84},{'r_hip': 114},{'l_hip': 179},hold
{'r_arm': 175},{'l_arm': 172},{'r_leg': 81},{'l_leg': 158},{'r_shoulder': 137},{'l_shoulder': 83},{'r_hip': 112},{'l_hip': 176},hold
{'r_arm': 174},{'l_arm': 171},{'r_leg': 81},{'l_leg': 162},{'r_shoulder': 135},{'l_shoulder': 83},{'r_hip': 113},{'l_hip': 178},hold
{'r_arm': 174},{'l_arm': 171},{'r_leg': 80},{'l_leg': 162},{'r_shoulder': 136},{'l_shoulder': 84},{'r_hip': 113},{'l_hip': 178},hold
{'r_arm': 176},{'l_arm': 173},{'r_leg': 80},{'l_leg': 162},{'r_shoulder': 136},{'l_shoulder': 85},{'r_hip': 113},{'l_hip': 178},hold
{'r_arm': 178},{'l_arm': 174},{'r_leg': 80},{'l_leg': 162},{'r_shoulder': 137},{'l_shoulder': 86},{'r_hip': 113},{'l_hip': 178},hold
{'r_arm': 180},{'l_arm': 173},{'r_leg': 79},{'l_leg': 162},{'r_shoulder': 138},{'l_shoulder': 86},{'r_hip': 113},{'l_hip': 177},hold
{'r_arm': 179},{'l_arm': 173},{'r_leg': 78},{'l_leg': 161},{'r_shoulder': 139},{'l_shoulder': 86},{'r_hip': 112},{'l_hip': 176},hold
{'r_arm': 179},{'l_arm': 173},{'r_leg': 77},{'l_leg': 161},{'r_shoulder': 140},{'l_shoulder': 86},{'r_hip': 111},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 76},{'l_leg': 161},{'r_shoulder': 140},{'l_shoulder': 86},{'r_hip': 111},{'l_hip': 177},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 75},{'l_leg': 161},{'r_shoulder': 140},{'l_shoulder': 86},{'r_hip': 111},{'l_hip': 177},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 161},{'r_shoulder': 140},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 177},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 161},{'r_shoulder': 140},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 177},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 161},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 177},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 161},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 159},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 175},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 159},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 175},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 73},{'l_leg': 159},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 175},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 73},{'l_leg': 159},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 175},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 73},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 175},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 175},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 109},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 177},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 142},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 176},hold
{'r_arm': 178},{'l_arm': 173},{'r_leg': 74},{'l_leg': 160},{'r_shoulder': 141},{'l_shoulder': 86},{'r_hip': 110},{'l_hip': 175},hold
